epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.28,1.39955,3.85379,1.67598,0.12213,0.1839,0.05988,0.02483,1.50926,19.6455,1.92596,0.000551221,0.000551221,0.000551221
2,578.897,1.60005,3.75091,1.80242,0.54454,0.12676,0.03491,0.01091,1.8885,19.4636,3.22642,0.00108497,0.00108497,0.00108497
3,902.995,1.67467,3.20656,1.84237,0.10046,0.24037,0.05134,0.01946,1.81205,13.5538,2.22854,0.00159672,0.00159672,0.00159672
4,1222.75,1.77885,3.09595,1.88771,0.05761,0.19238,0.03799,0.01446,1.60603,9.85108,1.97993,0.00156798,0.00156798,0.00156798
5,1543.99,1.62683,3.06378,1.76409,0.14985,0.21862,0.08896,0.03469,1.81728,9.47724,2.23993,0.00153497,0.00153497,0.00153497
6,1837.88,1.69201,2.98232,1.83699,0.11723,0.3333,0.08302,0.03037,1.93841,6.87502,2.32869,0.00150197,0.00150197,0.00150197
7,2124.59,1.66271,2.74493,1.77327,0.06611,0.15624,0.04081,0.01507,1.76146,7.78357,2.16338,0.00146896,0.00146896,0.00146896
8,2400.15,1.63276,2.66225,1.75038,0.1996,0.36511,0.15036,0.06209,1.53661,8.54825,1.84136,0.00143595,0.00143595,0.00143595
9,2675.49,1.59411,2.49083,1.70505,0.18834,0.31611,0.15019,0.07535,1.52137,7.15474,1.97578,0.00140295,0.00140295,0.00140295
10,2951.15,1.56348,2.47071,1.70348,0.21535,0.42105,0.17906,0.0945,1.42005,6.46269,1.74741,0.00136994,0.00136994,0.00136994
11,3291.55,1.48647,2.50023,1.65972,0.20442,0.35263,0.17453,0.09509,1.35544,6.34763,1.68423,0.00133693,0.00133693,0.00133693
12,3675.72,1.45385,2.44039,1.64315,0.25867,0.37707,0.2003,0.10601,1.38045,4.429,1.7531,0.00130393,0.00130393,0.00130393
13,4057.8,1.47908,2.40246,1.66053,0.24212,0.51005,0.19877,0.10945,1.32069,4.63636,1.63117,0.00127092,0.00127092,0.00127092
14,4440.09,1.44523,2.50675,1.61,0.24121,0.51916,0.23563,0.13361,1.26072,5.09832,1.58803,0.00123791,0.00123791,0.00123791
15,4824.82,1.43307,2.31298,1.57588,0.25609,0.55461,0.23801,0.12201,1.4095,4.95353,1.78397,0.00120491,0.00120491,0.00120491
16,5207.84,1.48546,2.35174,1.62421,0.27198,0.43451,0.2342,0.13055,1.27983,5.69108,1.67099,0.0011719,0.0011719,0.0011719
17,5562.46,1.4311,2.21794,1.58291,0.28007,0.52378,0.259,0.14443,1.33787,6.59735,1.6777,0.00113889,0.00113889,0.00113889
18,5851.1,1.35331,2.17602,1.54668,0.18007,0.51946,0.22915,0.12081,1.29109,7.39673,1.59103,0.00110589,0.00110589,0.00110589
19,6138.76,1.38504,2.14885,1.56391,0.25097,0.55472,0.2536,0.14327,1.28345,5.68855,1.57281,0.00107288,0.00107288,0.00107288
20,6418.56,1.37351,2.08416,1.52864,0.24374,0.62324,0.23989,0.13214,1.22298,7.65205,1.54139,0.00103987,0.00103987,0.00103987
21,6698.43,1.34676,2.09425,1.54375,0.27886,0.48913,0.24201,0.14299,1.22394,4.75785,1.5483,0.00100687,0.00100687,0.00100687
22,6977.97,1.36546,2.19919,1.52008,0.27375,0.49472,0.25785,0.15093,1.25415,5.88649,1.53101,0.000973861,0.000973861,0.000973861
23,7259.99,1.37471,2.66494,1.51523,0.26268,0.62824,0.25103,0.14478,1.28429,3.65712,1.53355,0.000940855,0.000940855,0.000940855
24,7541.6,1.25606,2.13447,1.4876,0.28374,0.52513,0.26228,0.15606,1.23518,5.26988,1.59843,0.000907848,0.000907848,0.000907848
25,7822.23,1.28835,2.11492,1.50384,0.29052,0.51999,0.27798,0.17272,1.16887,4.91534,1.47643,0.000874842,0.000874842,0.000874842
