epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,8102.31,1.24527,2.06829,1.46258,0.27137,0.55933,0.27113,0.16477,1.1685,5.61546,1.49112,0.000841835,0.000841835,0.000841835
27,8381.42,1.26589,2.3783,1.45449,0.27682,0.55996,0.28574,0.16968,1.1985,4.58522,1.48601,0.000808828,0.000808828,0.000808828
28,8658.38,1.2538,2.1292,1.46268,0.27771,0.57484,0.26891,0.16504,1.14929,4.75484,1.46256,0.000775822,0.000775822,0.000775822
29,8938.96,1.23065,2.11603,1.45362,0.28961,0.55243,0.2824,0.17672,1.08814,5.53591,1.41395,0.000742815,0.000742815,0.000742815
30,9217.49,1.25154,2.16143,1.45553,0.30275,0.56549,0.30974,0.20021,1.09459,4.13942,1.39571,0.000709809,0.000709809,0.000709809
31,9495.2,1.2282,2.09512,1.43198,0.303,0.54833,0.29039,0.18098,1.10022,4.94513,1.41365,0.000676802,0.000676802,0.000676802
32,9771.77,1.23482,2.1597,1.42701,0.29267,0.5389,0.2803,0.17739,1.10456,4.82037,1.40754,0.000643795,0.000643795,0.000643795
33,10048.9,1.17884,1.9604,1.41993,0.28241,0.59012,0.28643,0.17797,1.11353,5.02477,1.43837,0.000610789,0.000610789,0.000610789
34,10327.5,1.13861,2.20715,1.39352,0.30072,0.57988,0.29933,0.1935,1.01852,4.90977,1.34521,0.000577782,0.000577782,0.000577782
35,10605.9,1.2072,1.96984,1.43809,0.2916,0.57398,0.29229,0.19399,1.02141,5.13345,1.33486,0.000544776,0.000544776,0.000544776
36,10882.8,1.13382,2.13689,1.39577,0.27588,0.60446,0.29985,0.19641,1.01311,4.68699,1.31871,0.000511769,0.000511769,0.000511769
37,11162.7,1.23223,1.96243,1.44624,0.28352,0.59015,0.30936,0.20445,1.06583,5.16658,1.36711,0.000478762,0.000478762,0.000478762
38,11444,1.17007,1.90401,1.4051,0.288,0.57674,0.29571,0.19303,1.09941,5.49236,1.39608,0.000445756,0.000445756,0.000445756
39,11721.3,1.12781,1.89215,1.37782,0.29568,0.59741,0.31613,0.20867,1.03382,4.77893,1.33684,0.000412749,0.000412749,0.000412749
40,11999,1.20865,1.91541,1.44025,0.28849,0.60569,0.30414,0.20257,1.02756,4.97673,1.34722,0.000379743,0.000379743,0.000379743
41,12274.5,0.98144,2.22912,1.37657,0.29664,0.60018,0.31066,0.21211,0.98652,4.39962,1.31138,0.000346736,0.000346736,0.000346736
42,12548.9,0.92384,2.16331,1.29069,0.28696,0.61197,0.3052,0.20929,0.9635,3.17501,1.28775,0.000313729,0.000313729,0.000313729
43,12827.5,0.97718,1.95984,1.39228,0.28249,0.67385,0.29392,0.19535,0.97538,3.30163,1.30613,0.000280723,0.000280723,0.000280723
44,13105.1,0.9148,2.09751,1.2904,0.29376,0.65337,0.31803,0.21074,0.95198,3.09601,1.28259,0.000247716,0.000247716,0.000247716
45,13384.6,0.92597,1.89899,1.35252,0.29529,0.65648,0.32015,0.21649,0.94572,3.33855,1.28848,0.00021471,0.00021471,0.00021471
46,13662.7,0.87259,1.96389,1.26053,0.30702,0.63349,0.32896,0.22441,0.95166,3.17063,1.2847,0.000181703,0.000181703,0.000181703
47,13940.2,0.8949,1.87983,1.31249,0.30518,0.63418,0.33625,0.23198,0.93337,3.23985,1.26751,0.000148696,0.000148696,0.000148696
48,14217.9,0.83915,1.95925,1.24803,0.29976,0.64751,0.3362,0.23112,0.92407,3.33009,1.26286,0.00011569,0.00011569,0.00011569
49,14495.4,0.8343,1.89469,1.23824,0.3014,0.63946,0.33916,0.2326,0.93557,3.32442,1.27784,8.26832e-05,8.26832e-05,8.26832e-05
50,14770.4,0.85494,1.85556,1.28835,0.30502,0.64382,0.33964,0.23434,0.927,3.31698,1.2725,4.96766e-05,4.96766e-05,4.96766e-05
